Start,Length,0,0.382,0.618,1,1.618,2.618,4.236,Total_Overlaps,loc_0,loc_0.382,loc_0.618,loc_1,loc_1.618,loc_2.618,loc_4.236
904,84,1,0,0,1,0,1,0,3,904,936.088,955.912,988,1039.912,1123.912,1259.824
920,35,1,0,0,1,0,1,0,3,920,933.37,941.63,955,976.63,1011.63,1068.26
920,81,1,0,0,1,0,1,0,3,920,950.942,970.058,1001,1051.058,1132.058,1263.116
922,96,1,0,0,1,0,1,0,3,922,958.672,981.328,1018,1077.328,1173.328,1328.656
931,99,1,0,0,1,1,0,0,3,931,968.818,992.182,1030,1091.182,1190.182,1350.364
944,35,1,0,1,1,1,0,0,4,944,957.37,965.63,979,1000.63,1035.63,1092.26
944,86,1,0,0,1,1,0,0,3,944,976.852,997.148,1030,1083.148,1169.148,1308.296
946,55,1,0,0,1,1,0,0,3,946,967.01,979.99,1001,1034.99,1089.99,1178.98
946,84,1,0,0,1,0,1,0,3,946,978.088,997.912,1030,1081.912,1165.912,1301.824
946,89,1,0,1,1,0,0,0,3,946,979.998,1001.002,1035,1090.002,1179.002,1323.004
950,55,1,0,0,1,1,0,0,3,950,971.01,983.99,1005,1038.99,1093.99,1182.98
950,89,1,0,1,1,0,0,0,3,950,983.998,1005.002,1039,1094.002,1183.002,1327.004
955,50,1,0,0,1,0,1,0,3,955,974.1,985.9,1005,1035.9,1085.9,1166.8
955,75,1,0,1,1,0,0,0,3,955,983.65,1001.35,1030,1076.35,1151.35,1272.7
955,92,1,0,1,1,0,0,0,3,955,990.144,1011.856,1047,1103.856,1195.856,1344.712
961,86,1,0,0,1,1,1,1,5,961,993.852,1014.148,1047,1100.148,1186.148,1325.296
961,88,1,0,0,1,0,1,0,3,961,994.616,1015.384,1049,1103.384,1191.384,1333.768
966,81,1,0,0,1,1,0,0,3,966,996.942,1016.058,1047,1097.058,1178.058,1309.116
975,55,1,0,0,1,0,1,0,3,975,996.01,1008.99,1030,1063.99,1118.99,1207.98
975,92,1,0,0,1,1,1,0,4,975,1010.144,1031.856,1067,1123.856,1215.856,1364.712
979,99,1,0,0,1,1,0,0,3,979,1016.818,1040.182,1078,1139.182,1238.182,1398.364
1001,96,1,0,0,1,0,1,0,3,1001,1037.672,1060.328,1097,1156.328,1252.328,1407.656
1005,84,1,0,1,1,1,0,0,4,1005,1037.088,1056.912,1089,1140.912,1224.912,1360.824
1012,79,1,0,1,1,0,1,1,5,1012,1042.178,1060.8220000000001,1091,1139.8220000000001,1218.8220000000001,1346.644
1018,79,1,0,1,1,0,0,0,3,1018,1048.178,1066.8220000000001,1097,1145.8220000000001,1224.8220000000001,1352.644
1025,61,1,0,0,1,1,0,1,4,1025,1048.302,1062.698,1086,1123.698,1184.6979999999999,1283.396
1025,99,1,0,1,1,0,0,0,3,1025,1062.818,1086.182,1124,1185.182,1284.182,1444.364
1035,65,1,0,0,1,0,1,0,3,1035,1059.83,1075.17,1100,1140.17,1205.17,1310.34
1047,50,1,0,1,1,1,0,0,4,1047,1066.1,1077.9,1097,1127.9,1177.9,1258.8
1057,34,1,0,1,1,0,0,0,3,1057,1069.988,1078.012,1091,1112.012,1146.012,1201.024
1067,61,1,0,0,1,1,1,1,5,1067,1090.302,1104.698,1128,1165.698,1226.6979999999999,1325.396
1067,65,1,0,0,1,0,1,0,3,1067,1091.83,1107.17,1132,1172.17,1237.17,1342.34
1067,99,1,0,1,1,1,0,0,4,1067,1104.818,1128.182,1166,1227.182,1326.182,1486.364
1078,54,1,0,0,1,0,1,0,3,1078,1098.628,1111.372,1132,1165.372,1219.372,1306.744
1078,88,1,0,1,1,0,0,0,3,1078,1111.616,1132.384,1166,1220.384,1308.384,1450.768
1089,84,1,0,1,1,0,0,0,3,1089,1121.088,1140.912,1173,1224.912,1308.912,1444.824
1091,75,1,0,0,1,0,1,0,3,1091,1119.65,1137.35,1166,1212.35,1287.35,1408.7
